及	丿乀 pn
叚	乛又 vy
喂	口乀 kn
墨	黑土 ht
嬥	女龶 nf
尢	𠂇乛 uv
尹	乛丿 vp
展	尸乀 un
州	丶丨 dl
巨	匚一 ka
幸	土干 tg
弓	乛乛 vv
弼	弓弓 gg
我	丿丶 pd
所	丿斤 pj
承	乛乀 vn
掰	龵手 uu
搌	扌乀 fn
斠	一十 au
斥	丿丶 pd
旅	方乀 fn
曲	丨一 la
柬	一乀 an
氐	氏丶 ud
灈	氵龶 df
焘	<寿上部>灬 fh
煨	火乀 hn
爟	火龶 hf
片	丿乛 pv
猥	犭乀 qn
畏	田乀 tn
碨	石乀 un
碾	石乀 un
穰	禾𧘇 hy
粤	丿乛 pv
粥	弓弓 gg
聘	耳乛 ev
聿	乛丨 vl
肆	一聿 ay
胤	丿乛 pv
臣	匚丨 kl
览	丨<见下部> le
豆	一一 aa
辗	车乀 in
辰	厂乀 in
隈	阝乀 en
髦	一毛 am
鬟	一𧘇 ay
鬻	弓丨 gl
鳂	鱼乀 an
黄	艹八 cb
黑	丨灬 lh
黼	业甫 yf
丛	人一 ra
丢	丿厶 ps
严	亚丿 yp
个	人丨 rl
丫	丷丨 bl
中	丨丨 ll
串	丨丨 ll
乂	丿乀 pn
义	丶乂 dx
乐	丿丶 pd
买	乛大 vd
乳	丿乛 pv
乾	十乞 uq
予	龴丨 sl
亏	二乛 ev
亓	二丨 el
井	一丨 al
亡	亠乛 wv
亨	亠了 wl
亵	亠𧘇 wy
今	人乛 rv
俜	亻乛 rv
俭	亻一 ra
偃	亻女 rn
僇	亻丿 rp
儇	亻𧘇 ry
儳	亻丶 rd
兜	白儿 be
再	一冉 ar
冢	冖乀 bn
凡	几丶 jd
凶	乂凵 xk
凼	水凵 uk
利	禾刂 hd
剿	乛刂 vd
助	且力 ql
匐	勹田 bt
卅	一丨 al
卉	十廾 uc
卓	丨十 lu
卫	卩一 ea
卬	丿卩 pe
卺	了乛 lv
压	厂丶 id
厖	厂丶 id
厣	厂甲 ij
厾	乛厶 vs
县	且厶 qs
叉	又丶 yd
取	耳又 ey
司	乛口 vk
哀	亠𧘇 wy
啄	口乀 kn
喙	口豕 ku
嘁	口小 kx
嘴	口用 ky
噱	口豕 ku
嚷	口𧘇 ky
囟	丿乂 px
囱	丿夂 pw
圜	囗𧘇 ky
堰	土女 tn
壤	土𧘇 ty
壬	丿士 pu
夏	一夂 aw
夬	乛乀 vn
夷	一乀 an
夹	一乀 an
奔	大廾 dc
奥	丿大 pd
娉	女乛 nv
嫪	女丿 np
嬛	女𧘇 ny
孅	女韭 nj
孰	亠丸 ww
官	宀㠯 bk
寥	宀丿 bp
寰	宀𧘇 by
射	身寸 uc
尕	乃小 nx
尘	小土 xt
尤	尢丶 yd
尨	𠂇丶 ud
尺	尸乀 un
岙	夭山 ye
岳	丘山 qe
崄	山一 ea
巉	山丶 ed
平	一十 au
并	丷开 bk
幼	幺力 yl
庸	广丨 gl
廖	广丿 gp
弁	厶廾 sc
异	巳廾 sc
弄	王廾 wc
弇	人廾 rc
弊	丶廾 dc
弯	亠弓 wg
归	丨彐 le
彬	木丿 mp
彭	士丿 up
必	丶丶 dd
忝	天⺗ tx
恭	艹⺗ cx
